"Key","Adv","ObDate","WindField","NE","SE","SW","NW"
"AL072016",12,2016-08-25 15:00:00,"50","70","30","0","60"
"AL072016",12,2016-08-25 15:00:00,"34","100","70","30","100"
"AL072016",11,2016-08-25 09:00:00,"64","20","0","0","0"
"AL072016",11,2016-08-25 09:00:00,"50","40","40","20","30"
"AL072016",11,2016-08-25 09:00:00,"34","80","80","40","50"
"AL072016",10,2016-08-25 03:00:00,"50","40","40","20","30"
"AL072016",10,2016-08-25 03:00:00,"34","80","80","40","60"
"AL072016",9,2016-08-24 21:00:00,"50","40","40","0","30"
"AL072016",9,2016-08-24 21:00:00,"34","70","80","40","50"
"AL072016",8,2016-08-24 15:00:00,"50","40","40","0","30"
"AL072016",8,2016-08-24 15:00:00,"34","70","80","40","60"
"AL072016",7,2016-08-24 09:00:00,"50","30","20","0","20"
"AL072016",7,2016-08-24 09:00:00,"34","60","40","30","60"
"AL072016",6,2016-08-24 03:00:00,"50","30","20","0","20"
"AL072016",6,2016-08-24 03:00:00,"34","60","40","30","60"
"AL072016",5,2016-08-23 21:00:00,"50","30","20","0","20"
"AL072016",5,2016-08-23 21:00:00,"34","60","40","30","60"
"AL072016",4,2016-08-23 15:00:00,"50","30","0","0","0"
"AL072016",4,2016-08-23 15:00:00,"34","60","40","30","60"
"AL072016",3,2016-08-23 09:00:00,"34","50","40","30","50"
"AL072016",2,2016-08-23 03:00:00,"34","50","30","30","30"
"AL062016",25,2016-08-23 03:00:00,"",NA,NA,NA,NA
"AL062016",24,2016-08-22 21:00:00,"",NA,NA,NA,NA
"AL062016",23,2016-08-22 15:00:00,"",NA,NA,NA,NA
"AL062016",22,2016-08-22 09:00:00,"",NA,NA,NA,NA
"AL062016",21,2016-08-22 03:00:00,"",NA,NA,NA,NA
"AL062016",20,2016-08-21 21:00:00,"34","40","0","0","0"
"AL062016",19,2016-08-21 15:00:00,"34","40","30","0","30"
"AL062016",18,2016-08-21 09:00:00,"34","50","40","0","30"
"AL062016",17,2016-08-21 03:00:00,"34","50","40","0","30"
"AL062016",16,2016-08-20 21:00:00,"34","60","0","0","60"
"AL062016",15,2016-08-20 15:00:00,"34","0","0","0","70"
"AL062016",14,2016-08-20 09:00:00,"34","0","0","0","70"
"AL062016",13,2016-08-20 03:00:00,"34","0","0","0","70"
"AL062016",12,2016-08-19 21:00:00,"34","0","0","0","40"
"AL062016",11,2016-08-19 15:00:00,"34","40","20","0","30"
"AL062016",10,2016-08-19 09:00:00,"34","40","30","0","30"
"AL062016",9,2016-08-19 03:00:00,"34","30","20","0","30"
"AL062016",8,2016-08-18 21:00:00,"34","30","0","0","30"
"AL062016",7,2016-08-18 15:00:00,"34","30","0","0","30"
"AL062016",6,2016-08-18 09:00:00,"34","30","0","0","30"
"AL062016",5,2016-08-18 03:00:00,"34","30","0","0","30"
"AL062016",4,2016-08-17 21:00:00,"34","20","0","0","20"
"AL052016",16,2016-08-06 09:00:00,"34","110","0","0","60"
"AL052016",15,2016-08-06 03:00:00,"50","30","20","0","0"
"AL052016",15,2016-08-06 03:00:00,"34","100","70","30","100"
"AL052016",14,2016-08-05 21:00:00,"50","30","30","0","0"
"AL052016",14,2016-08-05 21:00:00,"34","100","70","70","110"
"AL052016",13,2016-08-05 15:00:00,"34","60","30","0","60"
"AL052016",10,2016-08-04 21:00:00,"34","30","0","0","30"
"AL052016",9,2016-08-04 15:00:00,"34","50","50","20","20"
"AL052016",8,2016-08-04 09:00:00,"64","20","0","0","20"
"AL052016",8,2016-08-04 09:00:00,"50","50","30","0","30"
"AL052016",8,2016-08-04 09:00:00,"34","120","80","30","80"
"AL052016",7,2016-08-04 03:00:00,"64","15","0","0","15"
"AL052016",7,2016-08-04 03:00:00,"50","50","30","0","30"
"AL052016",7,2016-08-04 03:00:00,"34","120","80","30","80"
"AL052016",6,2016-08-03 21:00:00,"50","50","50","0","30"
"AL052016",6,2016-08-03 21:00:00,"34","120","80","30","80"
"AL052016",5,2016-08-03 15:00:00,"50","30","0","0","20"
"AL052016",5,2016-08-03 15:00:00,"34","100","50","30","80"
"AL052016",4,2016-08-03 09:00:00,"50","30","0","0","20"
"AL052016",4,2016-08-03 09:00:00,"34","80","50","0","70"
"AL052016",3,2016-08-03 03:00:00,"50","30","0","0","20"
"AL052016",3,2016-08-03 03:00:00,"34","80","40","0","60"
"AL052016",2,2016-08-02 21:00:00,"34","80","40","0","60"
"AL052016",1,2016-08-02 16:00:00,"34","70","60","0","70"
"AL042016",5,2016-06-20 21:00:00,"34","50","50","30","70"
"AL042016",4,2016-06-20 15:00:00,"34","50","50","40","70"
"AL032016",10,2016-06-07 21:00:00,"50","0","100","0","0"
"AL032016",10,2016-06-07 21:00:00,"34","60","210","0","0"
"AL032016",9,2016-06-07 15:00:00,"50","0","100","0","0"
"AL032016",9,2016-06-07 15:00:00,"34","60","200","0","0"
"AL032016",8,2016-06-07 09:00:00,"34","100","200","0","0"
"AL032016",7,2016-06-07 03:00:00,"34","0","200","0","0"
"AL032016",6,2016-06-06 21:00:00,"34","0","200","0","0"
"AL032016",5,2016-06-06 15:00:00,"34","0","200","0","0"
"AL032016",4,2016-06-06 09:00:00,"34","160","160","0","0"
"AL032016",3,2016-06-06 03:00:00,"34","160","160","0","0"
"AL022016",32,2016-06-04 15:00:00,"",NA,NA,NA,NA
"AL022016",31,2016-06-04 09:00:00,"34","0","30","0","0"
"AL022016",30,2016-06-04 03:00:00,"34","0","30","0","0"
"AL022016",29,2016-06-03 21:00:00,"34","0","30","0","0"
"AL022016",8,2016-05-29 15:00:00,"",NA,NA,NA,NA
"AL022016",7,2016-05-29 09:00:00,"34","0","0","0","40"
"AL022016",6,2016-05-29 03:00:00,"34","0","0","20","60"
"AL022016",5,2016-05-28 21:00:00,"34","0","0","0","50"
"AL022016",3,2016-05-28 09:00:00,"",NA,NA,NA,NA
"AL022016",2,2016-05-28 03:00:00,"",NA,NA,NA,NA
"AL022016",1,2016-05-27 21:00:00,"",NA,NA,NA,NA
"AL012016",9,2016-01-15 21:00:00,"50","300","120","30","40"
"AL012016",9,2016-01-15 21:00:00,"34","420","420","240","120"
"AL012016",8,2016-01-15 15:00:00,"50","150","150","30","40"
"AL012016",8,2016-01-15 15:00:00,"34","400","300","180","150"
"AL012016",7,2016-01-15 09:00:00,"64","20","20","0","0"
"AL012016",7,2016-01-15 09:00:00,"50","50","50","30","40"
"AL012016",7,2016-01-15 09:00:00,"34","180","150","100","100"
"AL012016",6,2016-01-15 03:00:00,"64","20","20","0","0"
"AL012016",6,2016-01-15 03:00:00,"50","40","60","30","40"
"AL012016",6,2016-01-15 03:00:00,"34","150","150","100","100"
"AL012016",5,2016-01-14 21:00:00,"64","20","20","0","0"
"AL012016",5,2016-01-14 21:00:00,"50","40","60","30","40"
"AL012016",5,2016-01-14 21:00:00,"34","150","150","100","100"
"AL012016",4,2016-01-14 15:00:00,"64","20","20","0","0"
"AL012016",4,2016-01-14 15:00:00,"50","30","40","30","20"
"AL012016",4,2016-01-14 15:00:00,"34","120","130","100","50"
"AL012016",3,2016-01-14 09:00:00,"50","30","30","0","0"
"AL012016",3,2016-01-14 09:00:00,"34","120","130","100","30"
"AL012016",2,2016-01-14 03:00:00,"50","0","30","0","0"
"AL012016",2,2016-01-14 03:00:00,"34","60","120","120","0"
"AL012016",1,2016-01-13 21:00:00,"34","60","120","120","0"
