"Key","Name","Adv","ObDate","Status","Lat","Lon","Wind","Gust","Pressure","PosAcc","FwdDir","FwdSpeed","Eye"
"AL142016","MATTHEW",5,2016-09-29 15:00:00,"TROPICAL STORM",14.2,-66.3,60,75,996,20,275,13,NA
"AL142016","MATTHEW",6,2016-09-29 21:00:00,"HURRICANE",14.1,-67.8,65,80,993,20,270,15,NA
"AL142016","MATTHEW",7,2016-09-30 03:00:00,"HURRICANE",14.1,-68.8,70,85,983,20,270,12,20
"AL142016","MATTHEW",8,2016-09-30 06:00:00,"HURRICANE",14.1,-69.3,85,105,979,20,270,12,25
"AL142016","MATTHEW",9,2016-09-30 09:00:00,"HURRICANE",14,-69.9,85,105,979,20,265,12,NA
"AL142016","MATTHEW",10,2016-09-30 15:00:00,"HURRICANE",13.7,-70.8,100,120,968,20,255,10,15
"AL142016","MATTHEW",11,2016-09-30 21:00:00,"HURRICANE",13.5,-71.6,120,145,949,20,255,8,15
"AL142016","MATTHEW",12,2016-10-01 03:00:00,"HURRICANE",13.3,-72.3,140,170,941,10,265,6,15
"AL142016","MATTHEW",13,2016-10-01 09:00:00,"HURRICANE",13.3,-72.8,135,165,942,10,270,6,15
"AL142016","MATTHEW",14,2016-10-01 15:00:00,"HURRICANE",13.4,-73.4,125,150,947,15,270,5,10
"AL142016","MATTHEW",15,2016-10-01 21:00:00,"HURRICANE",13.5,-73.4,130,160,940,10,315,3,NA
"AL142016","MATTHEW",16,2016-10-02 03:00:00,"HURRICANE",13.8,-73.6,130,160,940,10,335,6,15
"AL142016","MATTHEW",17,2016-10-02 09:00:00,"HURRICANE",13.9,-74.1,130,160,940,10,320,4,15
"AL142016","MATTHEW",18,2016-10-02 15:00:00,"HURRICANE",14,-74.6,120,145,947,10,270,3,15
"AL142016","MATTHEW",19,2016-10-02 21:00:00,"HURRICANE",14.6,-74.8,125,150,945,15,325,4,10
"AL142016","MATTHEW",20,2016-10-03 03:00:00,"HURRICANE",14.7,-75,125,150,943,15,360,4,10
"AL142016","MATTHEW",21,2016-10-03 09:00:00,"HURRICANE",15.2,-74.9,115,140,943,15,360,5,15
"AL142016","MATTHEW",22,2016-10-03 15:00:00,"HURRICANE",15.6,-75,120,145,941,15,360,5,15
"AL142016","MATTHEW",23,2016-10-03 21:00:00,"HURRICANE",16.3,-74.7,120,145,940,15,10,6,15
"AL142016","MATTHEW",24,2016-10-04 03:00:00,"HURRICANE",16.9,-74.6,125,150,934,15,360,6,15
"AL142016","MATTHEW",25,2016-10-04 09:00:00,"HURRICANE",17.8,-74.4,125,150,934,15,5,8,20
"AL142016","MATTHEW",26,2016-10-04 15:00:00,"HURRICANE",18.9,-74.3,125,150,950,15,360,9,25
"AL142016","MATTHEW",27,2016-10-04 21:00:00,"HURRICANE",19.8,-74.3,120,145,949,15,360,8,15
"AL142016","MATTHEW",28,2016-10-05 03:00:00,"HURRICANE",20.4,-74.4,115,140,950,15,350,7,25
"AL142016","MATTHEW",29,2016-10-05 09:00:00,"HURRICANE",21.1,-74.6,110,135,962,20,350,9,NA
"AL142016","MATTHEW",30,2016-10-05 15:00:00,"HURRICANE",21.8,-75.2,105,125,962,20,325,10,25
"AL142016","MATTHEW",31,2016-10-05 21:00:00,"HURRICANE",22.5,-75.7,105,130,963,20,320,10,15
"AL142016","MATTHEW",32,2016-10-06 03:00:00,"HURRICANE",23.4,-76.4,100,120,961,15,320,9,15
"AL142016","MATTHEW",33,2016-10-06 09:00:00,"HURRICANE",24.2,-77.1,110,135,944,15,320,10,15
"AL142016","MATTHEW",34,2016-10-06 15:00:00,"HURRICANE",25.1,-77.8,120,145,940,15,325,12,15
"AL142016","MATTHEW",35,2016-10-06 21:00:00,"HURRICANE",26.2,-78.6,120,145,938,15,325,11,15
"AL142016","MATTHEW",36,2016-10-07 03:00:00,"HURRICANE",27.1,-79.2,115,140,939,15,325,11,10
"AL142016","MATTHEW",37,2016-10-07 09:00:00,"HURRICANE",28.2,-80,105,130,938,15,330,11,35
"AL142016","MATTHEW",38,2016-10-07 15:00:00,"HURRICANE",29.4,-80.5,105,130,947,15,345,10,30
"AL142016","MATTHEW",39,2016-10-07 21:00:00,"HURRICANE",30.2,-80.7,95,115,948,15,360,10,20
"AL142016","MATTHEW",40,2016-10-08 03:00:00,"HURRICANE",31.2,-80.5,90,110,948,15,10,10,NA
"AL142016","MATTHEW",41,2016-10-08 09:00:00,"HURRICANE",32,-80.5,90,110,955,15,15,10,40
"AL142016","MATTHEW",42,2016-10-08 15:00:00,"HURRICANE",33,-79.4,65,80,967,15,55,10,NA
"AL142016","MATTHEW",43,2016-10-08 21:00:00,"HURRICANE",33.8,-78.2,65,80,977,15,70,11,15
"AL142016","MATTHEW",44,2016-10-09 03:00:00,"HURRICANE",34.1,-76.5,65,80,982,15,70,12,15
"AL142016","MATTHEW",45,2016-10-09 09:00:00,"POST-TROPICAL CYCLONE",34.9,-75.1,65,80,983,20,80,12,NA
"AL142016","MATTHEW",46,2016-10-09 15:00:00,"POST-TROPICAL CYCLONE",35.2,-73.7,65,80,984,25,80,13,NA
"AL142016","MATTHEW",47,2016-10-09 21:00:00,"POST-TROPICAL CYCLONE",35.4,-72,65,80,988,25,75,13,NA
"AL152016","NICOLE",1,2016-10-04 15:00:00,"TROPICAL STORM",23.8,-60.4,45,55,1005,30,310,7,NA
"AL152016","NICOLE",2,2016-10-04 21:00:00,"TROPICAL STORM",24.1,-61.1,45,55,1005,30,305,8,NA
"AL152016","NICOLE",3,2016-10-05 03:00:00,"TROPICAL STORM",24.2,-61.3,45,55,1005,30,300,5,NA
"AL152016","NICOLE",4,2016-10-05 09:00:00,"TROPICAL STORM",24.3,-61.8,45,55,1005,30,300,5,NA
"AL152016","NICOLE",5,2016-10-05 15:00:00,"TROPICAL STORM",25,-62.8,45,55,1004,30,300,7,NA
"AL152016","NICOLE",6,2016-10-05 21:00:00,"TROPICAL STORM",25.3,-63.5,50,60,1001,30,300,7,NA
"AL152016","NICOLE",7,2016-10-06 03:00:00,"TROPICAL STORM",26,-64.1,60,75,995,20,320,8,NA
"AL152016","NICOLE",8,2016-10-06 09:00:00,"TROPICAL STORM",26.5,-64.7,60,75,995,20,315,8,NA
"AL152016","NICOLE",9,2016-10-06 15:00:00,"TROPICAL STORM",26.8,-64.8,60,75,995,20,325,5,NA
"AL152016","NICOLE",10,2016-10-06 18:00:00,"HURRICANE",27.3,-65,70,85,985,20,325,7,NA
"AL152016","NICOLE",11,2016-10-06 21:00:00,"HURRICANE",27.5,-65.1,75,90,982,20,330,6,NA
"AL152016","NICOLE",12,2016-10-07 03:00:00,"HURRICANE",27.4,-65.2,90,110,968,20,360,0,NA
"AL152016","NICOLE",13,2016-10-07 09:00:00,"HURRICANE",27.3,-65.2,85,105,970,20,180,1,NA
"AL152016","NICOLE",14,2016-10-07 15:00:00,"TROPICAL STORM",27.5,-65.3,60,75,985,15,360,0,NA
"AL152016","NICOLE",15,2016-10-07 21:00:00,"TROPICAL STORM",27,-65.2,55,65,994,15,185,4,NA
"AL152016","NICOLE",16,2016-10-08 03:00:00,"TROPICAL STORM",26.3,-65.3,50,60,997,15,180,6,NA
"AL152016","NICOLE",17,2016-10-08 09:00:00,"TROPICAL STORM",25.9,-65.6,45,55,999,15,190,6,NA
"AL152016","NICOLE",18,2016-10-08 15:00:00,"TROPICAL STORM",25.2,-65.7,35,45,1005,15,190,6,NA
"AL152016","NICOLE",19,2016-10-08 21:00:00,"TROPICAL STORM",24.8,-65.8,45,55,999,15,195,5,NA
"AL152016","NICOLE",20,2016-10-09 03:00:00,"TROPICAL STORM",24.4,-65.7,45,55,999,15,180,4,NA
"AL152016","NICOLE",21,2016-10-09 09:00:00,"TROPICAL STORM",24.3,-65.7,45,55,999,25,360,0,NA
"AL152016","NICOLE",22,2016-10-09 15:00:00,"TROPICAL STORM",24,-65.4,50,60,996,20,360,0,NA
"AL152016","NICOLE",23,2016-10-09 21:00:00,"TROPICAL STORM",24.2,-65.3,55,65,989,20,360,0,NA
"AL152016","NICOLE",24,2016-10-10 03:00:00,"TROPICAL STORM",24.4,-65.3,55,65,989,20,360,2,NA
"AL152016","NICOLE",25,2016-10-10 09:00:00,"TROPICAL STORM",25,-65.2,55,65,989,20,360,6,NA
"AL152016","NICOLE",26,2016-10-10 15:00:00,"TROPICAL STORM",25.7,-65.2,50,60,992,20,360,5,NA
"AL152016","NICOLE",27,2016-10-10 21:00:00,"TROPICAL STORM",26.3,-65.4,50,60,992,20,355,5,NA
"AL152016","NICOLE",28,2016-10-11 03:00:00,"TROPICAL STORM",26.8,-65.5,50,60,992,20,350,5,NA
"AL152016","NICOLE",29,2016-10-11 09:00:00,"TROPICAL STORM",27.1,-65.9,50,60,992,20,335,4,NA
